State,District,Year,Quarter,Total_transaction,Transaction_amount
Madhya Pradesh,agar malwa district,2018,Q1 (Jan - Mar),46312,90606925
Madhya Pradesh,ashoknagar district,2018,Q1 (Jan - Mar),37316,37659899
Madhya Pradesh,sagar district,2018,Q1 (Jan - Mar),217079,158907811
Madhya Pradesh,niwari district,2018,Q1 (Jan - Mar),20669,12106652
Madhya Pradesh,rewa district,2018,Q1 (Jan - Mar),210786,249549304
Madhya Pradesh,shajapur district,2018,Q1 (Jan - Mar),100763,96403911
Madhya Pradesh,ujjain district,2018,Q1 (Jan - Mar),223180,258084907
Madhya Pradesh,bhind district,2018,Q1 (Jan - Mar),101429,79340297
Madhya Pradesh,tikamgarh district,2018,Q1 (Jan - Mar),53683,47488844
Madhya Pradesh,seoni district,2018,Q1 (Jan - Mar),82748,68746483
Madhya Pradesh,harda district,2018,Q1 (Jan - Mar),43384,50800702
Madhya Pradesh,burhanpur district,2018,Q1 (Jan - Mar),30712,33868567
Madhya Pradesh,damoh district,2018,Q1 (Jan - Mar),69994,52032411
Madhya Pradesh,bhopal district,2018,Q1 (Jan - Mar),1704495,1905473874
Madhya Pradesh,jhabua district,2018,Q1 (Jan - Mar),20133,23988491
Madhya Pradesh,dhar district,2018,Q1 (Jan - Mar),183246,206440756
Madhya Pradesh,guna district,2018,Q1 (Jan - Mar),99030,81652639
Madhya Pradesh,east nimar district,2018,Q1 (Jan - Mar),71864,82356693
Madhya Pradesh,chhindwara district,2018,Q1 (Jan - Mar),169657,137580364
Madhya Pradesh,umaria district,2018,Q1 (Jan - Mar),31009,31995694
Madhya Pradesh,mandla district,2018,Q1 (Jan - Mar),28899,37490484
Madhya Pradesh,indore district,2018,Q1 (Jan - Mar),1066784,1455149304
Madhya Pradesh,shahdol district,2018,Q1 (Jan - Mar),64833,84881495
Madhya Pradesh,ratlam district,2018,Q1 (Jan - Mar),128218,147489689
Madhya Pradesh,panna district,2018,Q1 (Jan - Mar),37817,27325866
Madhya Pradesh,chhatarpur district,2018,Q1 (Jan - Mar),101457,74380804
Maharashtra,jalgaon district,2018,Q1 (Jan - Mar),332668,346720332
Maharashtra,latur district,2018,Q1 (Jan - Mar),259016,237246239
Maharashtra,thane district,2018,Q1 (Jan - Mar),1243518,1995816824
Maharashtra,bhandara district,2018,Q1 (Jan - Mar),94217,76998452
Maharashtra,nandurbar district,2018,Q1 (Jan - Mar),60163,70543831
Maharashtra,chandrapur district,2018,Q1 (Jan - Mar),142067,129589201
Maharashtra,kolhapur district,2018,Q1 (Jan - Mar),351519,354723905
Maharashtra,solapur district,2018,Q1 (Jan - Mar),451438,535791949
Maharashtra,mumbai district,2018,Q1 (Jan - Mar),2671029,3923116793
Maharashtra,sindhudurg district,2018,Q1 (Jan - Mar),37285,44348287
Maharashtra,dhule district,2018,Q1 (Jan - Mar),139376,148893541
Maharashtra,wardha district,2018,Q1 (Jan - Mar),111564,103196998
Maharashtra,parbhani district,2018,Q1 (Jan - Mar),126868,109058549
