State,Year,Quarter,Transaction_type,Total_transaction,Transaction_amount
Ladakh,2018,Q2 (Apr - Jun),Financial Services,151,127324
Ladakh,2018,Q2 (Apr - Jun),Others,393,390334
Lakshadweep,2018,Q2 (Apr - Jun),Peer-to-peer payments,1315,5757123
Lakshadweep,2018,Q2 (Apr - Jun),Recharge & bill payments,750,353202
Lakshadweep,2018,Q2 (Apr - Jun),Merchant payments,42,64568
Lakshadweep,2018,Q2 (Apr - Jun),Financial Services,6,9134
Lakshadweep,2018,Q2 (Apr - Jun),Others,19,3780
Madhya Pradesh,2018,Q2 (Apr - Jun),Recharge & bill payments,5324535,1132090445
Madhya Pradesh,2018,Q2 (Apr - Jun),Peer-to-peer payments,4269392,14155603482
Madhya Pradesh,2018,Q2 (Apr - Jun),Merchant payments,397135,339308203
Madhya Pradesh,2018,Q2 (Apr - Jun),Financial Services,305553,53860331
Madhya Pradesh,2018,Q2 (Apr - Jun),Others,264797,243218603
Maharashtra,2018,Q2 (Apr - Jun),Recharge & bill payments,12384216,3725800358
Maharashtra,2018,Q2 (Apr - Jun),Peer-to-peer payments,7772336,30782831245
Maharashtra,2018,Q2 (Apr - Jun),Merchant payments,1306326,1226121649
Maharashtra,2018,Q2 (Apr - Jun),Financial Services,262875,85545909
Maharashtra,2018,Q2 (Apr - Jun),Others,559987,536758077
Manipur,2018,Q2 (Apr - Jun),Recharge & bill payments,77991,11541247
Manipur,2018,Q2 (Apr - Jun),Peer-to-peer payments,60365,232157389
Manipur,2018,Q2 (Apr - Jun),Financial Services,5992,1241901
Manipur,2018,Q2 (Apr - Jun),Merchant payments,4041,5366759
Manipur,2018,Q2 (Apr - Jun),Others,3332,2902422
Meghalaya,2018,Q2 (Apr - Jun),Recharge & bill payments,42625,9657896
Meghalaya,2018,Q2 (Apr - Jun),Peer-to-peer payments,19894,101140464
Meghalaya,2018,Q2 (Apr - Jun),Merchant payments,2929,3663446
Meghalaya,2018,Q2 (Apr - Jun),Financial Services,592,580648
Meghalaya,2018,Q2 (Apr - Jun),Others,1817,1962212
Mizoram,2018,Q2 (Apr - Jun),Recharge & bill payments,13550,3107406
Mizoram,2018,Q2 (Apr - Jun),Peer-to-peer payments,11427,77040044
Mizoram,2018,Q2 (Apr - Jun),Merchant payments,1310,2368711
Mizoram,2018,Q2 (Apr - Jun),Financial Services,167,60939
Mizoram,2018,Q2 (Apr - Jun),Others,597,931303
Nagaland,2018,Q2 (Apr - Jun),Recharge & bill payments,41959,9139467
Nagaland,2018,Q2 (Apr - Jun),Peer-to-peer payments,20099,140193107
Nagaland,2018,Q2 (Apr - Jun),Merchant payments,1529,2293935
Nagaland,2018,Q2 (Apr - Jun),Financial Services,379,153458
Nagaland,2018,Q2 (Apr - Jun),Others,1633,1545608
Odisha,2018,Q2 (Apr - Jun),Peer-to-peer payments,3989202,7621288195
Odisha,2018,Q2 (Apr - Jun),Recharge & bill payments,3307545,482823290
Odisha,2018,Q2 (Apr - Jun),Financial Services,472304,67829259
Odisha,2018,Q2 (Apr - Jun),Merchant payments,257628,213530873
Odisha,2018,Q2 (Apr - Jun),Others,131465,102838720
Puducherry,2018,Q2 (Apr - Jun),Recharge & bill payments,59867,14607336
Puducherry,2018,Q2 (Apr - Jun),Peer-to-peer payments,57751,261299695
Puducherry,2018,Q2 (Apr - Jun),Merchant payments,6904,6103101
Puducherry,2018,Q2 (Apr - Jun),Financial Services,2105,822585
Puducherry,2018,Q2 (Apr - Jun),Others,3634,2968399
Punjab,2018,Q2 (Apr - Jun),Recharge & bill payments,1262450,395417027
Punjab,2018,Q2 (Apr - Jun),Peer-to-peer payments,1017159,4036457553
Punjab,2018,Q2 (Apr - Jun),Merchant payments,147667,159406610
Punjab,2018,Q2 (Apr - Jun),Financial Services,82256,17719391
Punjab,2018,Q2 (Apr - Jun),Others,71631,75671628
Rajasthan,2018,Q2 (Apr - Jun),Recharge & bill payments,5288093,1511007056
Rajasthan,2018,Q2 (Apr - Jun),Peer-to-peer payments,3770555,13341587602
Rajasthan,2018,Q2 (Apr - Jun),Merchant payments,345752,342809667
Rajasthan,2018,Q2 (Apr - Jun),Financial Services,279471,52145152
Rajasthan,2018,Q2 (Apr - Jun),Others,289826,311536696
Sikkim,2018,Q2 (Apr - Jun),Recharge & bill payments,45435,9465769
Sikkim,2018,Q2 (Apr - Jun),Peer-to-peer payments,24237,127051984
