State,Year,Quarter,Register,App_opened
Dadra and Nagar Haveli and Daman and Diu,2020,Q1 (Jan - Mar),218496,4195122
Delhi,2020,Q1 (Jan - Mar),7826197,178263986
Goa,2020,Q1 (Jan - Mar),391900,7147233
Gujarat,2020,Q1 (Jan - Mar),10259843,165605122
Haryana,2020,Q1 (Jan - Mar),7018770,157793468
Himachal Pradesh,2020,Q1 (Jan - Mar),1106025,14640104
Jammu & Kashmir,2020,Q1 (Jan - Mar),735408,4476894
Jharkhand,2020,Q1 (Jan - Mar),3651393,74014713
Karnataka,2020,Q1 (Jan - Mar),17016980,626488036
Kerala,2020,Q1 (Jan - Mar),4078316,46396398
Ladakh,2020,Q1 (Jan - Mar),47790,590484
Lakshadweep,2020,Q1 (Jan - Mar),2772,21982
Madhya Pradesh,2020,Q1 (Jan - Mar),10151371,262452480
Maharashtra,2020,Q1 (Jan - Mar),26168390,615146568
Manipur,2020,Q1 (Jan - Mar),177374,2175642
Meghalaya,2020,Q1 (Jan - Mar),113814,1716211
Mizoram,2020,Q1 (Jan - Mar),46499,644683
Nagaland,2020,Q1 (Jan - Mar),107143,1684520
Odisha,2020,Q1 (Jan - Mar),6652970,175918622
Puducherry,2020,Q1 (Jan - Mar),230908,3820943
Punjab,2020,Q1 (Jan - Mar),3739502,53853710
Rajasthan,2020,Q1 (Jan - Mar),12142053,341815756
Sikkim,2020,Q1 (Jan - Mar),104631,1697163
Tamil Nadu,2020,Q1 (Jan - Mar),10872368,179908753
Telangana,2020,Q1 (Jan - Mar),12306860,454723816
Tripura,2020,Q1 (Jan - Mar),299962,4063223
Uttar Pradesh,2020,Q1 (Jan - Mar),20136256,374282083
Uttarakhand,2020,Q1 (Jan - Mar),1943606,32631265
West Bengal,2020,Q1 (Jan - Mar),11960822,207068218
Andaman & Nicobar,2020,Q2 (Apr - Jun),32710,305072
Andhra Pradesh,2020,Q2 (Apr - Jun),14319675,494341698
Arunachal Pradesh,2020,Q2 (Apr - Jun),177534,3387006
Assam,2020,Q2 (Apr - Jun),2550883,39304924
Bihar,2020,Q2 (Apr - Jun),10603767,218435035
Chandigarh,2020,Q2 (Apr - Jun),336351,3451250
Chhattisgarh,2020,Q2 (Apr - Jun),3401658,68493384
Dadra and Nagar Haveli and Daman and Diu,2020,Q2 (Apr - Jun),244814,4505127
Delhi,2020,Q2 (Apr - Jun),8391139,142852253
Goa,2020,Q2 (Apr - Jun),430639,5310126
Gujarat,2020,Q2 (Apr - Jun),11392657,155264359
Haryana,2020,Q2 (Apr - Jun),7682878,143650123
Himachal Pradesh,2020,Q2 (Apr - Jun),1249867,16125580
Jammu & Kashmir,2020,Q2 (Apr - Jun),845294,9856653
Jharkhand,2020,Q2 (Apr - Jun),4061035,76339276
Karnataka,2020,Q2 (Apr - Jun),18655366,490510075
Kerala,2020,Q2 (Apr - Jun),4728844,45832953
Ladakh,2020,Q2 (Apr - Jun),53034,695673
Lakshadweep,2020,Q2 (Apr - Jun),3187,29202
Madhya Pradesh,2020,Q2 (Apr - Jun),11374423,253770044
Maharashtra,2020,Q2 (Apr - Jun),28765086,506354812
Manipur,2020,Q2 (Apr - Jun),215496,3011491
Meghalaya,2020,Q2 (Apr - Jun),136211,2205253
Mizoram,2020,Q2 (Apr - Jun),55574,739308
Nagaland,2020,Q2 (Apr - Jun),130205,2119279
Odisha,2020,Q2 (Apr - Jun),7258315,154682772
Puducherry,2020,Q2 (Apr - Jun),255600,3057608
Punjab,2020,Q2 (Apr - Jun),4225481,51289576
Rajasthan,2020,Q2 (Apr - Jun),13563201,329941181
Sikkim,2020,Q2 (Apr - Jun),119921,1912335
Tamil Nadu,2020,Q2 (Apr - Jun),12150786,144907447
Telangana,2020,Q2 (Apr - Jun),13378191,367130505
Tripura,2020,Q2 (Apr - Jun),336666,4443221
Uttar Pradesh,2020,Q2 (Apr - Jun),22498519,383703534
Uttarakhand,2020,Q2 (Apr - Jun),2148567,31074793
West Bengal,2020,Q2 (Apr - Jun),13222022,198589332
Andaman & Nicobar,2020,Q3 (Jul - Sep),41335,515565
Andhra Pradesh,2020,Q3 (Jul - Sep),15692405,696300382
Arunachal Pradesh,2020,Q3 (Jul - Sep),206046,4003421
Assam,2020,Q3 (Jul - Sep),2830011,41875278
Bihar,2020,Q3 (Jul - Sep),11763213,266652644
Chandigarh,2020,Q3 (Jul - Sep),362588,4888739
Chhattisgarh,2020,Q3 (Jul - Sep),3799386,86918606
Dadra and Nagar Haveli and Daman and Diu,2020,Q3 (Jul - Sep),267946,4421499
Delhi,2020,Q3 (Jul - Sep),9044174,190025029
Goa,2020,Q3 (Jul - Sep),474962,6129766
Gujarat,2020,Q3 (Jul - Sep),12467847,184402472
Haryana,2020,Q3 (Jul - Sep),8398816,188614769
Himachal Pradesh,2020,Q3 (Jul - Sep),1378634,18411750
Jammu & Kashmir,2020,Q3 (Jul - Sep),949819,11443454
Jharkhand,2020,Q3 (Jul - Sep),4480027,99318784
Karnataka,2020,Q3 (Jul - Sep),20487550,693683212
Kerala,2020,Q3 (Jul - Sep),5582300,64309022
Ladakh,2020,Q3 (Jul - Sep),58401,1015680
Lakshadweep,2020,Q3 (Jul - Sep),3644,32128
Madhya Pradesh,2020,Q3 (Jul - Sep),12564224,324850994
Maharashtra,2020,Q3 (Jul - Sep),31409513,668197101
Manipur,2020,Q3 (Jul - Sep),258563,3552375
Meghalaya,2020,Q3 (Jul - Sep),157741,2384534
Mizoram,2020,Q3 (Jul - Sep),68315,924865
Nagaland,2020,Q3 (Jul - Sep),173106,2868642
Odisha,2020,Q3 (Jul - Sep),7901755,205597666
Puducherry,2020,Q3 (Jul - Sep),285173,4222159
Punjab,2020,Q3 (Jul - Sep),4694233,58946732
Rajasthan,2020,Q3 (Jul - Sep),14969412,436682870
Sikkim,2020,Q3 (Jul - Sep),134773,2156470
Tamil Nadu,2020,Q3 (Jul - Sep),13643451,194683284
Telangana,2020,Q3 (Jul - Sep),14590882,527781925
Tripura,2020,Q3 (Jul - Sep),376731,5777908
Uttar Pradesh,2020,Q3 (Jul - Sep),24838116,450784508
Uttarakhand,2020,Q3 (Jul - Sep),2365438,40377348
West Bengal,2020,Q3 (Jul - Sep),14448366,246554831
Andaman & Nicobar,2020,Q4 (Oct - Dec),52396,887208
Andhra Pradesh,2020,Q4 (Oct - Dec),17076565,869078538
Arunachal Pradesh,2020,Q4 (Oct - Dec),231292,4472667
Assam,2020,Q4 (Oct - Dec),3106153,49321814
Bihar,2020,Q4 (Oct - Dec),12889833,317056600
Chandigarh,2020,Q4 (Oct - Dec),391402,6477974
Chhattisgarh,2020,Q4 (Oct - Dec),4190601,109900467
Dadra and Nagar Haveli and Daman and Diu,2020,Q4 (Oct - Dec),296493,6196436
Delhi,2020,Q4 (Oct - Dec),9747968,243433752
Goa,2020,Q4 (Oct - Dec),527584,10991118
Gujarat,2020,Q4 (Oct - Dec),13605203,230497353
Haryana,2020,Q4 (Oct - Dec),9129873,236101307
Himachal Pradesh,2020,Q4 (Oct - Dec),1508766,22001148
Jammu & Kashmir,2020,Q4 (Oct - Dec),1079022,16018751
Jharkhand,2020,Q4 (Oct - Dec),4917938,126310835
